area;ciudad;conglomerado;panelm;vivienda;hogar;c01;c02;c03;c04a;c07;c08a;c09;c10;c11;c12;c13;c14;c18;c19;c20a;c21a;estrato;fexp;upm;id_vivienda;id_hogar;periodo
1;010150;008303;052;03;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2711;36,2969046112888;010150008303;01015000830305203;010150008303052031;202601
1;010150;008303;052;04;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2711;36,2969046112888;010150008303;01015000830305204;010150008303052041;202601
1;010150;008303;052;05;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2711;36,2969046112888;010150008303;01015000830305205;010150008303052051;202601
1;010150;008303;052;06;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2711;36,2969046112888;010150008303;01015000830305206;010150008303052061;202601
1;010150;008303;052;07;1;2;2;1;1;2;2;2;2;2;2;2;2;3;3;3;3;2711;36,2969046112888;010150008303;01015000830305207;010150008303052071;202601
1;010150;008602;077;01;1;2;2;2;2;2;2;2;2;2;2;2;2;3;3;3;3;2713;78,2386592730262;010150008602;01015000860207701;010150008602077011;202601
1;010150;008602;077;03;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2713;78,2386592730262;010150008602;01015000860207703;010150008602077031;202601
1;010150;008602;077;04;1;2;2;1;1;1;1;2;2;2;2;2;2;3;3;3;3;2713;78,2386592730262;010150008602;01015000860207704;010150008602077041;202601
1;010150;008602;077;06;1;2;2;2;2;2;2;2;2;2;2;2;2;3;3;3;3;2713;78,2386592730262;010150008602;01015000860207706;010150008602077061;202601
1;010150;008602;077;08;1;2;2;1;1;1;1;2;2;2;2;2;2;2;2;2;2;2713;78,2386592730262;010150008602;01015000860207708;010150008602077081;202601
1;010150;008602;077;10;1;2;2;1;1;1;1;2;2;2;2;2;2;2;2;2;2;2713;78,2386592730262;010150008602;01015000860207710;010150008602077101;202601
1;010150;009402;074;01;1;2;3;2;2;2;2;2;2;2;2;2;2;1;2;2;2;2712;483,974990653981;010150009402;01015000940207401;010150009402074011;202601
1;010150;009402;074;02;1;2;2;1;3;2;3;3;3;3;3;3;3;1;1;1;1;2712;483,974990653981;010150009402;01015000940207402;010150009402074021;202601
1;010150;009402;074;03;1;2;2;2;2;2;2;2;2;2;2;2;2;3;3;3;3;2712;483,974990653981;010150009402;01015000940207403;010150009402074031;202601
1;010150;009402;074;04;1;1;3;1;3;3;3;3;3;3;3;3;3;2;2;2;2;2712;483,974990653981;010150009402;01015000940207404;010150009402074041;202601
1;010150;009402;074;05;1;1;1;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2712;483,974990653981;010150009402;01015000940207405;010150009402074051;202601
1;010150;009402;074;06;1;2;2;1;2;2;2;2;2;2;2;2;2;3;3;3;3;2712;483,974990653981;010150009402;01015000940207406;010150009402074061;202601
1;010150;009402;074;07;1;1;1;2;1;1;2;2;2;2;2;2;2;3;3;3;3;2712;483,974990653981;010150009402;01015000940207407;010150009402074071;202601
1;010150;009603;077;01;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2711;295,002941721287;010150009603;01015000960307701;010150009603077011;202601
1;010150;009603;077;02;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2711;295,002941721287;010150009603;01015000960307702;010150009603077021;202601
1;010150;009603;077;03;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2711;295,002941721287;010150009603;01015000960307703;010150009603077031;202601
1;010150;009603;077;04;1;2;2;2;2;2;2;2;2;2;2;2;2;3;3;3;3;2711;295,002941721287;010150009603;01015000960307704;010150009603077041;202601
1;010150;009603;077;06;1;2;2;2;2;2;2;2;2;2;2;2;2;3;3;3;3;2711;295,002941721287;010150009603;01015000960307706;010150009603077061;202601
1;010150;009603;077;09;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2711;295,002941721287;010150009603;01015000960307709;010150009603077091;202601
1;010150;009603;077;10;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2711;295,002941721287;010150009603;01015000960307710;010150009603077101;202601
1;010150;010801;074;01;1;2;2;2;2;2;2;2;2;2;2;2;2;3;3;3;3;2712;116,485493841378;010150010801;01015001080107401;010150010801074011;202601
1;010150;010801;074;02;1;2;2;2;2;2;2;2;2;2;2;2;2;2;1;2;2;2712;116,485493841378;010150010801;01015001080107402;010150010801074021;202601
1;010150;010801;074;03;1;2;2;2;2;2;2;2;2;2;2;2;2;3;3;3;3;2712;116,485493841378;010150010801;01015001080107403;010150010801074031;202601
1;010150;010801;074;04;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;3;2712;116,485493841378;010150010801;01015001080107404;010150010801074041;202601
1;010150;010801;074;05;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2712;116,485493841378;010150010801;01015001080107405;010150010801074051;202601
1;010150;010801;074;06;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2712;116,485493841378;010150010801;01015001080107406;010150010801074061;202601
1;010150;010801;074;07;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2712;116,485493841378;010150010801;01015001080107407;010150010801074071;202601
1;010150;011404;062;01;1;2;2;3;3;3;3;3;3;3;3;3;3;3;2;3;2;2712;119,169152381801;010150011404;01015001140406201;010150011404062011;202601
1;010150;011404;062;02;1;2;2;1;2;2;2;2;2;2;2;2;2;3;2;2;1;2712;119,169152381801;010150011404;01015001140406202;010150011404062021;202601
1;010150;011404;062;03;1;2;2;2;3;2;3;3;3;3;3;2;3;2;2;2;2;2712;119,169152381801;010150011404;01015001140406203;010150011404062031;202601
1;010150;011404;062;04;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2712;119,169152381801;010150011404;01015001140406204;010150011404062041;202601
1;010150;011404;062;05;1;2;2;3;3;2;3;3;2;2;2;2;2;3;2;3;2;2712;119,169152381801;010150011404;01015001140406205;010150011404062051;202601
1;010150;011404;062;06;1;3;3;3;2;3;2;3;2;3;2;3;2;2;2;2;1;2712;119,169152381801;010150011404;01015001140406206;010150011404062061;202601
1;010150;011404;062;07;1;2;2;1;3;2;1;2;3;2;2;2;3;3;2;3;2;2712;119,169152381801;010150011404;01015001140406207;010150011404062071;202601
1;010150;011802;074;01;1;2;2;1;2;1;2;3;2;2;2;2;2;2;2;2;2;2713;166,898451341459;010150011802;01015001180207401;010150011802074011;202601
1;010150;011802;074;02;1;2;2;1;3;2;2;2;2;2;2;2;2;3;2;3;2;2713;166,898451341459;010150011802;01015001180207402;010150011802074021;202601
1;010150;011802;074;03;1;2;2;2;2;2;2;2;2;2;2;2;2;3;2;3;2;2713;166,898451341459;010150011802;01015001180207403;010150011802074031;202601
1;010150;011802;074;04;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2713;166,898451341459;010150011802;01015001180207404;010150011802074041;202601
1;010150;011802;074;05;1;2;2;1;3;2;2;1;3;2;2;2;2;2;3;2;3;2713;166,898451341459;010150011802;01015001180207405;010150011802074051;202601
1;010150;011802;074;06;1;2;2;1;2;1;2;1;1;2;2;2;2;2;2;2;2;2713;166,898451341459;010150011802;01015001180207406;010150011802074061;202601
1;010150;011802;074;07;1;2;2;1;3;1;3;1;2;3;3;2;2;2;2;2;2;2713;166,898451341459;010150011802;01015001180207407;010150011802074071;202601
1;010150;015405;052;01;1;2;2;2;3;3;3;2;3;3;3;2;3;3;3;3;3;2713;148,690983168568;010150015405;01015001540505201;010150015405052011;202601
1;010150;015405;052;02;1;2;2;2;2;2;2;2;2;2;2;2;2;2;3;3;3;2713;148,690983168568;010150015405;01015001540505202;010150015405052021;202601
1;010150;015405;052;03;1;2;2;2;3;2;2;2;2;2;2;2;2;1;2;2;2;2713;148,690983168568;010150015405;01015001540505203;010150015405052031;202601
1;010150;015405;052;04;1;2;2;1;2;2;2;2;2;3;2;2;2;3;2;2;2;2713;148,690983168568;010150015405;01015001540505204;010150015405052041;202601
1;010150;015405;052;05;1;2;2;1;2;2;2;2;2;2;2;2;3;3;2;2;2;2713;148,690983168568;010150015405;01015001540505205;010150015405052051;202601
1;010150;015405;052;06;1;2;2;2;2;2;2;2;2;2;2;2;2;3;2;2;2;2713;148,690983168568;010150015405;01015001540505206;010150015405052061;202601
1;010150;015405;052;08;1;2;2;1;2;2;2;2;2;2;2;2;2;3;2;2;2;2713;148,690983168568;010150015405;01015001540505208;010150015405052081;202601
1;010150;017901;062;02;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2712;66,8963417588565;010150017901;01015001790106202;010150017901062021;202601
1;010150;017901;062;03;1;2;2;3;2;2;2;3;2;2;2;2;2;2;2;2;2;2712;66,8963417588565;010150017901;01015001790106203;010150017901062031;202601
1;010150;017901;062;04;1;2;2;1;3;3;2;1;3;2;2;3;3;2;2;2;2;2712;66,8963417588565;010150017901;01015001790106204;010150017901062041;202601
1;010150;017901;062;05;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2712;66,8963417588565;010150017901;01015001790106205;010150017901062051;202601
1;010150;017901;062;06;1;2;2;1;3;3;1;2;2;2;2;2;2;3;2;3;1;2712;66,8963417588565;010150017901;01015001790106206;010150017901062061;202601
1;010150;017901;062;07;1;3;3;3;2;3;2;3;2;3;2;3;2;3;3;3;3;2712;66,8963417588565;010150017901;01015001790106207;010150017901062071;202601
1;010150;017901;062;09;1;2;2;2;2;2;2;2;2;2;2;2;2;3;2;3;2;2712;66,8963417588565;010150017901;01015001790106209;010150017901062091;202601
1;010150;018301;062;01;1;3;3;1;3;1;3;2;2;2;2;2;2;2;2;2;2;2713;159,110430648388;010150018301;01015001830106201;010150018301062011;202601
1;010150;018301;062;02;1;2;2;2;3;2;2;2;2;2;2;2;2;3;2;3;2;2713;159,110430648388;010150018301;01015001830106202;010150018301062021;202601
1;010150;018301;062;03;1;2;2;1;3;3;1;3;3;3;3;3;3;3;2;3;2;2713;159,110430648388;010150018301;01015001830106203;010150018301062031;202601
1;010150;018301;062;04;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2713;159,110430648388;010150018301;01015001830106204;010150018301062041;202601
1;010150;018301;062;05;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2713;159,110430648388;010150018301;01015001830106205;010150018301062051;202601
1;010150;018301;062;06;1;2;2;1;3;2;2;2;2;2;2;2;2;3;2;3;2;2713;159,110430648388;010150018301;01015001830106206;010150018301062061;202601
1;010150;018301;062;07;1;2;2;2;3;2;3;3;3;3;3;3;2;3;3;3;3;2713;159,110430648388;010150018301;01015001830106207;010150018301062071;202601
1;010150;018302;077;01;1;2;2;3;2;3;2;3;3;2;2;2;2;2;3;2;3;2713;86,555683790567;010150018302;01015001830207701;010150018302077011;202601
1;010150;018302;077;02;1;2;2;3;2;3;2;3;2;3;2;3;2;3;2;3;2;2713;86,555683790567;010150018302;01015001830207702;010150018302077021;202601
1;010150;018302;077;04;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2713;86,555683790567;010150018302;01015001830207704;010150018302077041;202601
1;010150;018302;077;06;1;2;2;2;1;2;2;2;2;2;2;2;2;2;2;2;2;2713;86,555683790567;010150018302;01015001830207706;010150018302077061;202601
1;010150;018302;077;07;1;2;2;2;2;2;2;2;2;2;2;2;2;3;3;3;3;2713;86,555683790567;010150018302;01015001830207707;010150018302077071;202601
1;010150;018302;077;08;1;2;3;3;3;3;3;3;3;3;3;3;3;3;2;3;2;2713;86,555683790567;010150018302;01015001830207708;010150018302077081;202601
1;010150;018302;077;09;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2713;86,555683790567;010150018302;01015001830207709;010150018302077091;202601
1;010150;018703;062;01;1;2;2;3;3;3;3;3;3;3;3;3;3;2;2;2;2;2712;65,7620013335701;010150018703;01015001870306201;010150018703062011;202601
1;010150;018703;062;02;1;2;2;2;2;2;3;3;3;3;3;3;3;3;3;3;3;2712;65,7620013335701;010150018703;01015001870306202;010150018703062021;202601
1;010150;018703;062;03;1;3;3;3;3;2;2;3;2;2;2;2;2;3;3;3;3;2712;65,7620013335701;010150018703;01015001870306203;010150018703062031;202601
1;010150;018703;062;04;1;2;2;3;1;1;1;1;2;2;2;2;2;2;2;2;2;2712;65,7620013335701;010150018703;01015001870306204;010150018703062041;202601
1;010150;018703;062;06;1;1;1;1;1;1;2;2;2;2;2;2;2;3;2;2;2;2712;65,7620013335701;010150018703;01015001870306206;010150018703062061;202601
1;010150;018703;062;07;1;2;2;3;3;3;3;2;2;2;2;2;2;3;1;2;2;2712;65,7620013335701;010150018703;01015001870306207;010150018703062071;202601
1;010150;018703;062;08;1;2;2;2;2;2;2;2;2;2;2;2;2;1;1;1;1;2712;65,7620013335701;010150018703;01015001870306208;010150018703062081;202601
1;010150;019002;052;01;1;2;2;3;3;3;3;3;3;3;3;3;3;3;3;3;3;2712;89,1528690844564;010150019002;01015001900205201;010150019002052011;202601
1;010150;019002;052;02;1;1;1;1;1;2;2;2;2;2;2;2;2;2;2;2;2;2712;89,1528690844564;010150019002;01015001900205202;010150019002052021;202601
1;010150;019002;052;03;1;2;2;1;2;3;3;3;3;3;3;3;3;3;3;2;2;2712;89,1528690844564;010150019002;01015001900205203;010150019002052031;202601
1;010150;019002;052;04;1;2;2;3;3;3;3;3;3;3;3;3;3;3;3;3;3;2712;89,1528690844564;010150019002;01015001900205204;010150019002052041;202601
1;010150;019002;052;05;1;1;1;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2712;89,1528690844564;010150019002;01015001900205205;010150019002052051;202601
1;010150;019002;052;06;1;2;2;1;2;3;3;3;3;2;3;2;3;2;2;2;2;2712;89,1528690844564;010150019002;01015001900205206;010150019002052061;202601
